id_item,area,subarea,ruta_final,decision
MTV_B22_I07,pedagogia,aprendizaje_significativo,content/items/pedagogia/MTV_B22_I07.json,Listo para el banco
MTV_B22_I08,pedagogia,aprendizaje_significativo,content/items/pedagogia/MTV_B22_I08.json,Listo para el banco
CB01_I02,pedagogia,curriculo_y_contexto,content/items/pedagogia/CB01_I02.json,Listo para el banco
CB01_I03,pedagogia,curriculo_y_contexto,content/items/pedagogia/CB01_I03.json,Listo para el banco
EFCC_B03_I01,pedagogia,curriculo_pei_y_evaluacion,content/items/pedagogia/EFCC_B03_I01.json,Listo para el banco
EFCC_B03_I03,pedagogia,curriculo_pei_y_evaluacion,content/items/pedagogia/EFCC_B03_I03.json,Listo para el banco
IDD_B04_I05,pedagogia,dua_piar_y_ajustes,content/items/pedagogia/IDD_B04_I05.json,Listo para el banco
IDD_B04_I07,pedagogia,dua_piar_y_ajustes,content/items/pedagogia/IDD_B04_I07.json,Listo para el banco
EFCC_B01_I02,pedagogia,evaluacion_formativa_y_punitiva,content/items/pedagogia/EFCC_B01_I02.json,Listo para el banco
EFCC_B01_I04,pedagogia,evaluacion_formativa_y_punitiva,content/items/pedagogia/EFCC_B01_I04.json,Listo para el banco
